"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
3432,"Accuracy of Needle Placement Into The Subacromial Space of The Shoulder","Completed","No Results Available","Rotator Cuff Tendonitis","Procedure: Injection of Subacromial Bursa","University of California, Davis Department of Orthopaedic Surgery, Sacramento, California, United States","https://ClinicalTrials.gov/show/NCT01330641"
3433,"Acute Pediatric Fracture Analgesia Study","Completed","No Results Available","Fracture","Drug: ibuprofen|Drug: acetamin w codeine","Children's Hospital of Wisconsin, Milwaukee, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT00520442"
3434,"Normal Lacritin Levels in Human Tears- Development of a New Clinical Assay","Completed","No Results Available","Tear Protein Lacritin in Human Tears","Procedure: Tear Collection","Walter Reed Army Medical Center, Washington, District of Columbia, United States","https://ClinicalTrials.gov/show/NCT00487643"
3435,"Calcium and Vitamin D Supplementation Decreases Incidence of Stress Fractures in Female Navy Recruits","Completed","No Results Available","Stress Fracture","Dietary Supplement: Calcium & Vitamin D","Creighton University, Omaha, Nebraska, United States","https://ClinicalTrials.gov/show/NCT00476346"
3436,"Using Autologous Platelet Rich Plasma (PRP) Gel to Treat Deep 2nd and 3rd Degree Burns","Active, not recruiting","No Results Available","Acute Burns","Device: Magellan®|Other: Placebo Saline Gel and Usual and Customary Standard of Care","University of California, Davis, Division of Burn Surgery, Sacramento, California, United States|Medstar Health Research Institute, Washington, District of Columbia, United States|University of Utah Hospital, Salt Lake City, Utah, United States","https://ClinicalTrials.gov/show/NCT01843686"
3437,"Intranasal Ketamine for Procedural Sedation in Pediatric Laceration Repair","Completed","No Results Available","Laceration","Drug: Intranasal ketamine","Hasbro Children's Hospital, Providence, Rhode Island, United States","https://ClinicalTrials.gov/show/NCT00451724"
3438,"Connecticut Child STEPs","Completed","No Results Available","Anxiety|Depression|Trauma|Behavior Problems","Behavioral: Modular Approach to Therapy for Children with Anxiety, Depression, Trauma, and Conduct Problems|Other: Monitoring and Feedback System","Harvard University, Cambridge, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT03153904"
3439,"Using Neuroimaging to Understand Children's Mental Health and Treatment Outcomes","Active, not recruiting","No Results Available","Anxiety|Depression|Trauma|Behavior Problems","Behavioral: Modular Approach to Therapy for Children with Anxiety, Depression, Trauma, and Conduct Problems|Other: Monitoring and Feedback System|Behavioral: Treatment as usual","Harvard University, Cambridge, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT03112265"
3440,"Alpha Lipoic Acid for Burning Mouth","Completed","No Results Available","Burning Sore Mouth",,"Mayo Clinic, Rochester, Minnesota, United States","https://ClinicalTrials.gov/show/NCT00387543"
3441,"Safety, Tolerability and Pharmacodynamics of AP214 Acetate in Patients Undergoing Cardiac Surgery","Terminated","No Results Available","Cardiac Surgery|Coronary Artery Bypass Grafting|Valve Surgery|Kidney Injury","Drug: AP214|Drug: Placebo","Shands Hospital at Alachua General Hospital, Gainesville, Florida, United States|Shands Hopsital at University of Florida, Gainesville, Florida, United States","https://ClinicalTrials.gov/show/NCT00628264"
3442,"Evaluation of Hand Assessments in Children With Severe Hand Burns","Terminated","Has Results","Burns","Behavioral: Functional hand tests","Shriners Hospitals for Children - Boston, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT00363675"
3443,"BEST (Burn Center Evaluation of Standard Therapies) Ventilator Mode Study-","Terminated","Has Results","Burns","Device: Ventilation - High Frequency Percussive Ventilation|Device: Ventilation - ARDSnet","United States Army Institute of Surgical Research, Fort Sam Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00351741"
3444,"Student Outcomes of Integrative Mental Health Services","Active, not recruiting","No Results Available","Anxiety|Depression|Trauma|Behavior Problems","Behavioral: Modular Approach to Therapy for Children with Anxiety, Depression, Trauma, and Conduct Problems|Other: Monitoring and Feedback System|Behavioral: Treatment as usual","Harvard University, Cambridge, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT02877875"
3445,"Efficacy of DBM on Fractures of the Shinbone (Tibia)","Completed","No Results Available","Closed Fracture|Open Fracture","Device: Grafton DBM|Biological: Reamings","Grady Memorial Hospital, Atlanta, Georgia, United States","https://ClinicalTrials.gov/show/NCT00299052"
3446,"Comparing Surgical to Conservative Management in the Treatment of Type II Odontoid Fractures Among the Elderly","Completed","No Results Available","Odontoid Fractures Type II","Procedure: surgical versus conservative treatment","Emory University SOM: Orthopedics, Atlanta, Georgia, United States","https://ClinicalTrials.gov/show/NCT00283998"
3447,"Identification of Gene and Protein Markers of Kidney Injury in Aminoglycoside-treated Children","Completed","No Results Available","Infection|Renal Dysfunction","Drug: aminoglycoside","University of Lousiville, Louisville, Kentucky, United States|Virginia Commonwealth University, Richmond, Virginia, United States","https://ClinicalTrials.gov/show/NCT00308906"
3448,"Child STEPS for Youth Mental Health in Maine Sustainability","Completed","No Results Available","Anxiety|Depression|Trauma|Behavior Problems","Behavioral: MATCH-ADTC|Other: TRAC","Harvard University, Cambridge, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT03112304"
3449,"Effect of rFVIIa on Peri-operative Blood Loss in Patients Undergoing Major Burn","Completed","Has Results","Burns","Drug: Recombinant Factor VIIa|Drug: Placebo","United States Army Institute of Surgical Research, Ft Sam Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00243243"
3450,"Type II Supracondylar Fractures in Children","Withdrawn","No Results Available","Type II Supracondylar Fractures",,"Children's Healthcare of Atlanta at Scottish Rite, Atlanta, Georgia, United States","https://ClinicalTrials.gov/show/NCT00207870"
3451,"Efficacy of a Fibrin Sealant in Burn Surgery","Completed","No Results Available","Burns","Drug: Tisseel Fibrin Sealant","Shriners Burns Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT00181974"
3452,"Insulin on Post Burn Hypermetabolism","Completed","No Results Available","Burns","Drug: Insulin|Drug: Stable Isotopes|Drug: Indocyanine Green","US Army Institute of Surgical Research, Fort Sam Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00137254"
3453,"Evaluating Cell Damage in Patients With Acute Myeloid Leukemia, Myelodysplastic Syndromes, or Fanconi Anemia; in Patients Who Were Exposed to Alkylating Agents; and in Healthy Volunteers","Completed","No Results Available","Leukemia|Myelodysplastic Syndromes","Genetic: cytogenetic analysis|Genetic: fluorescence in situ hybridization|Other: flow cytometry|Procedure: biopsy","OHSU Knight Cancer Institute, Portland, Oregon, United States","https://ClinicalTrials.gov/show/NCT00899795"
3454,"P300 Brain Computer Interface Keyboard to Operate Assistive Technology","Completed","Has Results","Healthy|Amyotrophic Lateral Sclerosis|Neuromuscular Disease|Spinal Cord Injury|Cerebral Palsy","Device: Brain Computer Interface Keyboard","University of Michigan Direct Brain Interface Project, Ann Arbor, Michigan, United States|Wadsworth Center, Albany, New York, United States","https://ClinicalTrials.gov/show/NCT00860951"
3455,"Exploring the Effectiveness of Sensor-based Balance Training on Patient Outcome Measures","Unknown status","No Results Available","Diabetes|Cancer|Multiple Sclerosis|Arthritis|Parkinson's Disease|Cognitive Disorders|Brain Injury|Stroke","Procedure: Exergame|Procedure: Home based balance training","University of Arizona, Tucson, Arizona, United States","https://ClinicalTrials.gov/show/NCT02777060"
3456,"A Post-Market Clinical Evaluation of the Treatment of Tibia Fractures With the T2 Alpha Tibia Nailing System","Recruiting","No Results Available","Tibial Fractures","Device: T2 Alpha Tibia Nailing System","New York University, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04015167"
3457,"A Post-Market Clinical Evaluation of the Treatment of Femur Fractures With the Femoral Nail PF","Recruiting","No Results Available","Femoral Fracture","Device: Femoral Nail PF of the T2 Alpha Femur Antegrade GT/PF Nailing System","New York University, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04015154"
3458,"A Post-Market Clinical Evaluation of the Treatment of Femur Fractures With the Femoral Nail GT","Recruiting","No Results Available","Femoral Fracture","Device: Femoral Nail GT of the T2 Alpha Femur Antegrade GT/PF Nailing System","New York University, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04015128"
3459,"Magnetic Resonance Imaging (MRI) in Amyotrophic Lateral Sclerosis (ALS)","Withdrawn","No Results Available","Amyotrophic Lateral Sclerosis (ALS)","Device: 7 Tesla MRI","Johns Hopkins University, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT01945853"
3460,"Intramedullary Bone Grafting for Open Tibial Shaft Fractures","Not yet recruiting","No Results Available","Tibial Fractures|Nonunion of Fracture|Delayed Union of Fracture","Procedure: Intramedullary Bone Graft","University of Louisville, Louisville, Kentucky, United States","https://ClinicalTrials.gov/show/NCT03891888"
3461,"Laughter Therapy Effects on Mood, Stress and Self-efficacy in People With Neurological Diseases.","Completed","No Results Available","Alzheimer's Disease|Amyotrophic Lateral Sclerosis|Brain Injury|Huntington's Disease|Multiple Sclerosis|Parkinson's Disease|Stroke|Spinal Cord Injury","Other: Laughter Therapy","Evergreen Healthcare, Kirkland, Washington, United States","https://ClinicalTrials.gov/show/NCT02750982"
3462,"Mobile Weight-Support Therapy (MWeST) for Mobility After Geriatric Fracture","Recruiting","No Results Available","Distal Femur Fracture","Device: Device - Prism Medical FGA-700 Bariatric Floor Lift","Washington University in St. Louis, Saint Louis, Missouri, United States","https://ClinicalTrials.gov/show/NCT03864367"
3463,"MDR - Biomet Cannulated Screws","Enrolling by invitation","No Results Available","Fractures, Bone|Fracture Multiple","Device: Biomet Cannulated Screw: 3.0, 4.0, 5.0, 6.5, and 8.0mm screws.","Zimmer Biomet, Warsaw, Indiana, United States","https://ClinicalTrials.gov/show/NCT04002518"
3464,"Bone Healing Accelerant Versus Standard of Care for Open Tibia Fractures","Not yet recruiting","No Results Available","Tibial Fractures","Combination Product: BHA","Carmell Therapeutics, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT03826784"
3465,"Supracondylar Post-Operative Pain Study","Recruiting","No Results Available","Supracondylar Humerus Fracture","Drug: Ibuprofen|Drug: Oxycodone|Drug: Acetaminophen","Orthopaedic Institute for Children, Los Angeles, California, United States","https://ClinicalTrials.gov/show/NCT03759028"
3466,"Intercostal Cryoneurolysis Following Traumatic Rib Fractures","Enrolling by invitation","No Results Available","Rib Fractures","Device: Cryoneurolysis|Device: Sham comparator","University California San Diego, San Diego, California, United States","https://ClinicalTrials.gov/show/NCT03917823"
3467,"Correlating MicroRNA Changes With Sepsis Outcomes","Recruiting","No Results Available","Septicemia","Procedure: Biospecimen Collection","M D Anderson Cancer Center, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT03929159"
3468,"Retrospective Analysis on Distal Humerus Fractures","Active, not recruiting","No Results Available","Distal Humerus Fracture","Other: ORIF","The Orthopaedic Research & Innovation Foundation, Edgewood, Kentucky, United States","https://ClinicalTrials.gov/show/NCT03637621"
3469,"The Erector Spinae Plane Block and Its Effect on Respiratory Status and Pain Management in Rib Fracture Patients","Recruiting","No Results Available","Rib Fractures","Drug: Ropivacaine|Drug: Normal Saline Flush, 0.9% Injectable Solution","Virginia Commonwealth University, Richmond, Virginia, United States","https://ClinicalTrials.gov/show/NCT03805360"
3470,"Observational Endothelin and Markers of Cellular Apoptosis In CSF Head Injury","Completed","No Results Available","Cerebrovascular Trauma|Neurohormones|Cellular Apoptosis|Endothelin System",,"University of California, Davis, Sacramento, California, United States|Harbor UCLA Medical Center, Torrance, California, United States|University of Miami Miller School of Medicine, Miami, Florida, United States|University of Iowa Hospital, Iowa City, Iowa, United States|University of Kentucky, Lexington, Kentucky, United States|The Mayfield Clinic, Cincinnati, Ohio, United States|University of Tennessee Health Science Center, Memphis, Tennessee, United States|Virginia Commonwealth University, Richmond, Virginia, United States|University Hospital Heidelberg, Heidelberg, Germany|University of Padova Medical School, Padova, Italy|Vall d'Hebron University Hospital, Barcelona, Spain","https://ClinicalTrials.gov/show/NCT00498498"
